[Log Created at 2022-05-14 14:14:56]
Epoch[1/20] Iter[50/696] : train_loss 0.06318
Epoch[1/20] Iter[100/696] : train_loss 0.05118
Epoch[1/20] Iter[150/696] : train_loss 0.04701
Epoch[1/20] Iter[200/696] : train_loss 0.04477
Epoch[1/20] Iter[250/696] : train_loss 0.04312
Epoch[1/20] Iter[300/696] : train_loss 0.04191
Epoch[1/20] Iter[350/696] : train_loss 0.04120
Epoch[1/20] Iter[400/696] : train_loss 0.04051
Epoch[1/20] Iter[450/696] : train_loss 0.03996
Epoch[1/20] Iter[500/696] : train_loss 0.03931
Epoch[1/20] Iter[550/696] : train_loss 0.03880
Epoch[1/20] Iter[600/696] : train_loss 0.03833
Epoch[1/20] Iter[650/696] : train_loss 0.03796
== Epoch [1/20]: train_loss 0.03763, val_loss 0.04437, val_f1 0.24385 
== Saving Best Loss Model 
== Saving Best F1 Model 
Epoch[2/20] Iter[50/696] : train_loss 0.03325
Epoch[2/20] Iter[100/696] : train_loss 0.03277
Epoch[2/20] Iter[150/696] : train_loss 0.03291
Epoch[2/20] Iter[200/696] : train_loss 0.03269
Epoch[2/20] Iter[250/696] : train_loss 0.03246
Epoch[2/20] Iter[300/696] : train_loss 0.03233
Epoch[2/20] Iter[350/696] : train_loss 0.03216
Epoch[2/20] Iter[400/696] : train_loss 0.03198
Epoch[2/20] Iter[450/696] : train_loss 0.03175
Epoch[2/20] Iter[500/696] : train_loss 0.03159
Epoch[2/20] Iter[550/696] : train_loss 0.03144
Epoch[2/20] Iter[600/696] : train_loss 0.03123
Epoch[2/20] Iter[650/696] : train_loss 0.03111
== Epoch [2/20]: train_loss 0.03104, val_loss 0.03552, val_f1 0.32914 
== Saving Best Loss Model 
== Saving Best F1 Model 
Epoch[3/20] Iter[50/696] : train_loss 0.02826
Epoch[3/20] Iter[100/696] : train_loss 0.02862
Epoch[3/20] Iter[150/696] : train_loss 0.02855
Epoch[3/20] Iter[200/696] : train_loss 0.02830
Epoch[3/20] Iter[250/696] : train_loss 0.02845
Epoch[3/20] Iter[300/696] : train_loss 0.02849
Epoch[3/20] Iter[350/696] : train_loss 0.02836
Epoch[3/20] Iter[400/696] : train_loss 0.02843
Epoch[3/20] Iter[450/696] : train_loss 0.02830
Epoch[3/20] Iter[500/696] : train_loss 0.02835
Epoch[3/20] Iter[550/696] : train_loss 0.02830
Epoch[3/20] Iter[600/696] : train_loss 0.02819
Epoch[3/20] Iter[650/696] : train_loss 0.02821
== Epoch [3/20]: train_loss 0.02814, val_loss 0.03165, val_f1 0.35576 
== Saving Best Loss Model 
== Saving Best F1 Model 
Epoch[4/20] Iter[50/696] : train_loss 0.02696
Epoch[4/20] Iter[100/696] : train_loss 0.02698
Epoch[4/20] Iter[150/696] : train_loss 0.02686
Epoch[4/20] Iter[200/696] : train_loss 0.02664
Epoch[4/20] Iter[250/696] : train_loss 0.02664
Epoch[4/20] Iter[300/696] : train_loss 0.02667
Epoch[4/20] Iter[350/696] : train_loss 0.02658
Epoch[4/20] Iter[400/696] : train_loss 0.02658
Epoch[4/20] Iter[450/696] : train_loss 0.02665
Epoch[4/20] Iter[500/696] : train_loss 0.02669
Epoch[4/20] Iter[550/696] : train_loss 0.02668
Epoch[4/20] Iter[600/696] : train_loss 0.02668
Epoch[4/20] Iter[650/696] : train_loss 0.02654
== Epoch [4/20]: train_loss 0.02649, val_loss 0.03047, val_f1 0.41244 
== Saving Best Loss Model 
== Saving Best F1 Model 
Epoch[5/20] Iter[50/696] : train_loss 0.02483
Epoch[5/20] Iter[100/696] : train_loss 0.02552
Epoch[5/20] Iter[150/696] : train_loss 0.02508
Epoch[5/20] Iter[200/696] : train_loss 0.02510
Epoch[5/20] Iter[250/696] : train_loss 0.02519
Epoch[5/20] Iter[300/696] : train_loss 0.02523
Epoch[5/20] Iter[350/696] : train_loss 0.02520
Epoch[5/20] Iter[400/696] : train_loss 0.02528
Epoch[5/20] Iter[450/696] : train_loss 0.02512
Epoch[5/20] Iter[500/696] : train_loss 0.02515
Epoch[5/20] Iter[550/696] : train_loss 0.02516
Epoch[5/20] Iter[600/696] : train_loss 0.02511
Epoch[5/20] Iter[650/696] : train_loss 0.02511
== Epoch [5/20]: train_loss 0.02508, val_loss 0.02942, val_f1 0.41454 
== Saving Best Loss Model 
== Saving Best F1 Model 
Epoch[6/20] Iter[50/696] : train_loss 0.02470
Epoch[6/20] Iter[100/696] : train_loss 0.02441
Epoch[6/20] Iter[150/696] : train_loss 0.02422
Epoch[6/20] Iter[200/696] : train_loss 0.02420
Epoch[6/20] Iter[250/696] : train_loss 0.02428
Epoch[6/20] Iter[300/696] : train_loss 0.02422
Epoch[6/20] Iter[350/696] : train_loss 0.02428
Epoch[6/20] Iter[400/696] : train_loss 0.02430
Epoch[6/20] Iter[450/696] : train_loss 0.02421
Epoch[6/20] Iter[500/696] : train_loss 0.02424
Epoch[6/20] Iter[550/696] : train_loss 0.02424
Epoch[6/20] Iter[600/696] : train_loss 0.02421
Epoch[6/20] Iter[650/696] : train_loss 0.02417
== Epoch [6/20]: train_loss 0.02406, val_loss 0.03296, val_f1 0.39090 
Epoch[7/20] Iter[50/696] : train_loss 0.02239
Epoch[7/20] Iter[100/696] : train_loss 0.02255
Epoch[7/20] Iter[150/696] : train_loss 0.02241
Epoch[7/20] Iter[200/696] : train_loss 0.02249
Epoch[7/20] Iter[250/696] : train_loss 0.02250
Epoch[7/20] Iter[300/696] : train_loss 0.02260
Epoch[7/20] Iter[350/696] : train_loss 0.02259
Epoch[7/20] Iter[400/696] : train_loss 0.02271
Epoch[7/20] Iter[450/696] : train_loss 0.02281
Epoch[7/20] Iter[500/696] : train_loss 0.02287
Epoch[7/20] Iter[550/696] : train_loss 0.02285
Epoch[7/20] Iter[600/696] : train_loss 0.02286
Epoch[7/20] Iter[650/696] : train_loss 0.02285
== Epoch [7/20]: train_loss 0.02287, val_loss 0.02818, val_f1 0.42738 
== Saving Best Loss Model 
== Saving Best F1 Model 
Epoch[8/20] Iter[50/696] : train_loss 0.02172
Epoch[8/20] Iter[100/696] : train_loss 0.02218
Epoch[8/20] Iter[150/696] : train_loss 0.02220
Epoch[8/20] Iter[200/696] : train_loss 0.02213
Epoch[8/20] Iter[250/696] : train_loss 0.02205
Epoch[8/20] Iter[300/696] : train_loss 0.02201
Epoch[8/20] Iter[350/696] : train_loss 0.02202
Epoch[8/20] Iter[400/696] : train_loss 0.02212
Epoch[8/20] Iter[450/696] : train_loss 0.02210
Epoch[8/20] Iter[500/696] : train_loss 0.02206
Epoch[8/20] Iter[550/696] : train_loss 0.02203
Epoch[8/20] Iter[600/696] : train_loss 0.02204
Epoch[8/20] Iter[650/696] : train_loss 0.02203
== Epoch [8/20]: train_loss 0.02203, val_loss 0.02943, val_f1 0.44292 
== Saving Best F1 Model 
Epoch[9/20] Iter[50/696] : train_loss 0.02116
Epoch[9/20] Iter[100/696] : train_loss 0.02127
Epoch[9/20] Iter[150/696] : train_loss 0.02133
Epoch[9/20] Iter[200/696] : train_loss 0.02151
Epoch[9/20] Iter[250/696] : train_loss 0.02157
Epoch[9/20] Iter[300/696] : train_loss 0.02143
Epoch[9/20] Iter[350/696] : train_loss 0.02128
Epoch[9/20] Iter[400/696] : train_loss 0.02135
Epoch[9/20] Iter[450/696] : train_loss 0.02126
Epoch[9/20] Iter[500/696] : train_loss 0.02128
Epoch[9/20] Iter[550/696] : train_loss 0.02137
Epoch[9/20] Iter[600/696] : train_loss 0.02129
Epoch[9/20] Iter[650/696] : train_loss 0.02128
== Epoch [9/20]: train_loss 0.02124, val_loss 0.03123, val_f1 0.44236 
Epoch[10/20] Iter[50/696] : train_loss 0.02065
Epoch[10/20] Iter[100/696] : train_loss 0.02011
Epoch[10/20] Iter[150/696] : train_loss 0.01991
Epoch[10/20] Iter[200/696] : train_loss 0.02005
Epoch[10/20] Iter[250/696] : train_loss 0.02004
Epoch[10/20] Iter[300/696] : train_loss 0.02007
Epoch[10/20] Iter[350/696] : train_loss 0.02019
Epoch[10/20] Iter[400/696] : train_loss 0.02028
Epoch[10/20] Iter[450/696] : train_loss 0.02032
Epoch[10/20] Iter[500/696] : train_loss 0.02031
Epoch[10/20] Iter[550/696] : train_loss 0.02026
Epoch[10/20] Iter[600/696] : train_loss 0.02028
Epoch[10/20] Iter[650/696] : train_loss 0.02039
== Epoch [10/20]: train_loss 0.02039, val_loss 0.02597, val_f1 0.49012 
== Saving Best Loss Model 
== Saving Best F1 Model 
Epoch[11/20] Iter[50/696] : train_loss 0.01904
Epoch[11/20] Iter[100/696] : train_loss 0.01928
Epoch[11/20] Iter[150/696] : train_loss 0.01922
Epoch[11/20] Iter[200/696] : train_loss 0.01944
Epoch[11/20] Iter[250/696] : train_loss 0.01954
Epoch[11/20] Iter[300/696] : train_loss 0.01943
Epoch[11/20] Iter[350/696] : train_loss 0.01946
Epoch[11/20] Iter[400/696] : train_loss 0.01949
Epoch[11/20] Iter[450/696] : train_loss 0.01939
Epoch[11/20] Iter[500/696] : train_loss 0.01941
Epoch[11/20] Iter[550/696] : train_loss 0.01949
Epoch[11/20] Iter[600/696] : train_loss 0.01950
Epoch[11/20] Iter[650/696] : train_loss 0.01953
== Epoch [11/20]: train_loss 0.01954, val_loss 0.02447, val_f1 0.50564 
== Saving Best Loss Model 
== Saving Best F1 Model 
Epoch[12/20] Iter[50/696] : train_loss 0.01881
Epoch[12/20] Iter[100/696] : train_loss 0.01802
Epoch[12/20] Iter[150/696] : train_loss 0.01820
Epoch[12/20] Iter[200/696] : train_loss 0.01840
Epoch[12/20] Iter[250/696] : train_loss 0.01858
Epoch[12/20] Iter[300/696] : train_loss 0.01852
Epoch[12/20] Iter[350/696] : train_loss 0.01862
Epoch[12/20] Iter[400/696] : train_loss 0.01867
